Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)"
2000_Luxembourg,,100.14192,75.35074,98.56639,89.32379,107.03325,9.814739999999999,95.83488,83.93834,,93.75,86.53924,97.10292,97.75083000000001,94.65608,,,,81.9189,,,,,5.34392,,2.89708,6.0226,6.788989999999999,12.8116,,,,4.646,,18.0811,,7.82008,12.51397,,
2000_Malaysia,102.13036,98.63761,72.86567,88.41804,61.61115,92.47145,25.631429999999998,98.37439,75.30318,,99.56687,92.41716,98.37439,98.37439,92.9707,,,,57.34355,15.30395,,,,7.0293,,1.62561,5.916869999999999,4.6158,10.53267,84.69605,99.24596,8.28877,,,42.65645,,12.597999999999999,24.41338,,
2000_Malta,99.94203,106.55615,75.87711999999999,97.21761,61.402159999999995,101.36078,21.351770000000002,,82.54509,,,91.26013,,,,,,,61.753119999999996,10.445969999999999,,,1.96433,,0.86226,,6.36219,6.2742,12.6364,89.55403000000001,98.46755999999999,7.471939999999999,2.34669,0.89161,38.24688,,,11.523819999999999,11.9818,88.0182
2000_Mexico,106.67533,107.17323999999999,69.82722,89.43711,45.66608,94.45169,19.050620000000002,97.19717,55.099540000000005,,98.45105,66.17713,99.3515,99.49752,82.60292,,,94.10602,44.60965,,,,6.2184099999999995,17.39708,,0.6485,6.44571,4.27383,10.71955,,90.62801,6.722119999999999,5.5086,1.4275200000000001,55.39035,,17.76924,36.05392,24.36202,75.63798
2000_Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000_Netherlands,,107.98898999999999,97.77402,115.02479,112.12182,132.45813,52.28482,99.39074000000001,,,98.83646999999999,,,99.52031,,,,,,,,,,,,,6.4924800000000005,7.345110000000001,13.837589999999999,,,,,,,,,,16.31535,83.68465
2000_New Zealand,,99.54072,,105.44263000000001,123.3093,101.62935999999999,,,,,,,,,,,,,,,,,,,,,5.97375,7.753360000000001,13.72711,,,,,,,,,,,
2000_North Macedonia,96.68171,96.82023000000001,68.0637,86.36083,67.2337,95.63685,22.68661,90.23201999999999,,,92.10852,,95.79318,97.70196999999999,,,,,,4.71221,,,0.05292,,0.7141,4.20682,3.88136,6.50786,10.38922,95.28779,98.82478,,0.07504,0.674,,,,,30.91613,69.08386999999999
2000_Norway,97.94835,100.85065999999999,97.7519,107.4652,135.5155,97.24566999999999,69.27863,99.70515999999999,94.75798,,97.88642,97.71077,99.70515999999999,99.86452,97.71077,,,99.81557,91.7324,0.1555,,,,2.28923,,0.29484,7.05943,6.863569999999999,13.923010000000001,99.8445,99.92314,,,,8.2676,,2.44015,5.22891,16.7062,78.93101999999999
2000_Peru,117.27621,121.29987,87.65689,105.21578999999998,69.33341999999999,94.47737,34.59748,97.57472,65.02023,,99.59429,63.039719999999996,99.9532,99.9532,96.87312,,,95.24295,75.63543,14.13955,,,10.65017,3.12688,6.53442,0.0468,7.3353399999999995,4.2971900000000005,11.632530000000001,85.86045,97.5475,,10.600610000000001,6.30668,24.36457,,5.03061,11.38899,,
2000_Poland,96.09934,98.57536,86.17619,99.41136999999999,100.69703,98.8883,49.68165,96.59532,90.21807,,94.43496999999999,93.37708,96.74255,96.9824,98.10869,,,97.56499000000001,86.74996999999999,,,,0.8425799999999999,1.8913099999999998,,3.25745,5.9042900000000005,6.03671,11.940999999999999,,100.0,,0.61771,,13.250029999999999,,6.70211,9.61353,,
2000_Portugal,,122.38401,89.76023,112.37978999999999,95.99515,113.17436000000001,47.63358,97.02278000000001,81.14097,,,75.51629,97.02278000000001,97.53924,99.73644,,,98.31867,85.34801999999999,,,,,0.26356,,2.97722,7.19247,6.037999999999999,13.23047,,,6.82105,,,14.651979999999998,,5.65758,7.88165,18.523329999999998,81.47667
2000_Qatar,,105.15015,,98.65944,84.78761,97.62815,,96.18775,,,92.01706,,96.18775,96.39955,,,,,,,,,,,,3.81225,6.29319,5.4836,11.77679,,,,,,,,,,21.02564,78.97436
2000_Republic of Korea,98.42942,100.59254,91.23317,98.24127,92.56161999999999,100.0538,76.68274,99.02969,92.63426,,92.40978,95.23385999999999,99.19325,99.19844,98.09251,,,99.19844,89.81148,1.23763,,,,1.9074900000000001,,0.80675,6.05087,5.74498,11.795860000000001,98.76236999999999,99.34231,11.25797,,,10.18852,,3.6619099999999998,6.43485,40.421459999999996,59.578540000000004
2000_Republic of Moldova,104.49061999999999,101.37638000000001,71.59225,88.10129,58.13073000000001,90.60771,32.52967,89.1081,78.24249,,,92.42509,92.56074,100.0,94.89931,,,,41.34241,12.75132,,,1.03809,5.10069,1.46488,7.439260000000001,4.056369999999999,5.69181,9.74818,87.24868000000001,98.05275,,1.09004,1.3989200000000002,58.65759,,15.84646,19.96921,,
2000_Romania,94.22293,96.76579,66.92335,84.59674,66.38686,91.73709000000001,24.02692,88.35636,,,86.19564,90.25327,92.31201,92.31201,94.67607,,,93.58225,,,,,3.3809099999999996,5.323930000000001,,7.687989999999999,3.87048,6.33434,10.20482,,99.4588,,2.89759,,,,,,25.131,70.48278
2000_Russian Federation,91.60963000000001,102.78668,,,,92.40685,55.779990000000005,,,,,,,,,,,,,,,,1.20392,,,,3.0836,,,,99.31133,,1.02379,,,,,,,
2000_Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000_Slovakia,100.84263,101.49387,71.61674000000001,90.06012,72.46754,96.90881,28.41184,,,,,,,,,,,,,,,,2.42212,,,,4.05975,7.705539999999999,11.7653,,99.48793,,2.32935,,,,,,22.25649,77.74351
2000_Slovenia,94.9768,97.1857,85.12392,99.84227,103.41866,98.22415,55.21148,93.62054,91.36473000000001,,91.76195,95.15519,95.55306999999999,95.55306999999999,96.49289,,,97.65887,89.24958000000001,7.78983,,,0.95452,3.50711,1.42011,4.44693,3.8865800000000004,8.052610000000001,11.9392,92.21016999999999,99.6348,,,1.5020200000000001,10.75042,,6.46175,7.29449,,
2000_Spain,101.6347,104.2435,90.74058000000001,107.39312,111.98476000000001,108.8626,57.628980000000006,99.81312,88.54198000000001,,99.60705,93.79375,99.81312,99.83478000000001,97.16521999999999,,,99.66403000000001,81.0207,,,,,2.83478,,0.18688,6.23993,6.374140000000001,12.61406,,,,,,18.9793,,4.84088,8.68357,25.42915,74.52973
2000_Sweden,102.20514,109.59968,112.46801,129.24148,194.21983,111.99475,67.0748,99.42556,95.51994,,97.35811,99.52402,99.42556,99.6379,99.53602,,,99.851,91.53928,,,,,0.46398,,0.57444,6.5721300000000005,8.730269999999999,15.3024,,99.92361,,,,8.46072,,2.32505,4.34019,31.07808,68.92192
2000_Switzerland,95.87892,106.2584,84.46603,100.42617,83.56853000000001,110.67423000000001,37.69879,95.5744,84.37018,,97.06353,93.4769,99.29759,99.66454,97.98195,,,98.62084,77.42106,,,,1.6406900000000002,2.01805,,0.7024100000000001,6.36888,6.644819999999999,13.0137,,99.94266,,1.67858,,22.57894,,7.609360000000001,13.68,25.27604,74.53636
2000_Thailand,96.16253,97.60774,,,,,34.78747,,,,,,,,,,,,,,,,3.54549,,,,5.83429,,,,,,3.8082199999999995,,,,,,,
2000_Trinidad and Tobago,96.36929,104.90501,,,,80.23422,6.06049,93.85691,,,89.73113000000001,,98.30565,99.36633,,,,,,,,,7.919560000000001,,,1.69435,7.29235,,,,97.41301999999999,,5.80246,,,,,,,
2000_Tunisia,104.46858,114.86908999999999,74.02895,92.90795,53.29795,101.9093,19.23327,95.43821,,,99.19796,,95.43821,95.43821,,,,,,,,,16.154529999999998,,,4.56179,6.86285,5.224530000000001,12.08738,,91.91946,,13.71026,,,,,,,
2000_Turkey,,103.40963,,87.07961,59.821709999999996,87.44695,,95.85531999999999,64.45994,,89.69949,80.76584,95.85531999999999,95.85531999999999,88.19536,,,,48.23366,,,,,11.80464,,4.14468,5.16931,4.42216,9.59147,,,,,,51.76634,,19.31365,31.834390000000003,30.655509999999996,69.34449000000001
2000_United Arab Emirates,,,,,,86.70853000000001,,,,69.44445999999999,,,,,,,,,,4.24014,,,3.41066,,5.0037400000000005,,,,,95.75986,99.94577,,3.16646,7.1328,,,,,,
2000_United Kingdom of Great Britain and Northern Ireland,,100.29796999999999,90.01114,101.11194,103.5277,99.67609,58.468540000000004,99.94839,94.626,,99.12259,99.67609,99.94839,99.96449,99.67609,,,99.94369,90.65448,,,,,0.32391,,0.05161,6.017519999999999,7.14703,13.16455,,,,,,9.34552,,2.87546,5.374,24.92055,64.41265
